kreis,datumstd,datum,anzahlM,anzahlE,anzahlEM,verstorben,verstorbenE,verstorbenM,verstorbenMOhneSterbedatum,hospitalisiert,genesen,geimpftVollst,geimpftUnvollst,geimpftKA,r,anzahlMKumuliert,anzahlEKumuliert,hospitalisiertKumuliert,verstorbenKumuliert,verstorbenEKumuliert,verstorbenMKumuliert,verstorbenMOhneSterbedatumKumuliert,genesenKumuliert,krankKumuliert,geimpftVollstKumuliert,geimpftUnvollstKumuliert,geimpftKAKumuliert,anzahlM7Tage,anzahlE7Tage,verstorben7Tage,verstorbenE7Tage,verstorbenM7Tage,hospitalisiert7Tage,geimpftVollst7Tage,geimpftUnvollst7Tage,geimpftKA7Tage,rateMKumuliert,rateEKumuliert,anteilVerstorbenM,rateHospitalisiertKumuliert,rateVerstorbenKumuliert,anteilVerstorbenEKumuliert,anteilVerstorbenMKumuliert,rateM7Tage,rateE7Tage,rateHospitalisiert7Tage,rateVerstorben7Tage,anteilVerstorbenE7Tage,anteilVerstorbenM7Tage,anzahlMKumuliertVortag,rateM7TageVortag,verstorbenKumuliertVortag,anzahlEA70,anzahlEA80,anzahlEA90,verstorbenA70,verstorbenA80,verstorbenA90,genesenA70,genesenA80,genesenA90,anzahlEA70Kumuliert,anzahlEA80Kumuliert,anzahlEA90Kumuliert,verstorbenA70Kumuliert,verstorbenA80Kumuliert,verstorbenA90Kumuliert,genesenA70Kumuliert,genesenA80Kumuliert,genesenA90Kumuliert,krankA70Kumuliert,krankA80Kumuliert,krankA90Kumuliert
5315,2021-10-17,17.10.2021,80,0,79,1,1,1,0,10,64,0,75,5,,65715,65717,6135,762,766,766,0,62200,2700,1473,10502,53740,696,691,2,2,2,40,3,675,18,6065.078108,6065.262695,1.250000,566.221627,70.327772,1.165604,1.165640,64.236390,63.774922,3.691747,0.000000,0.289436,0.287356,65637,58.514183,761,1,2,0,0,0,0,1,0,1,2728,2384,788,167,303,150,2483,2026,623,80,60,15
5315,2021-10-18,18.10.2021,80,0,80,1,0,0,0,6,99,0,77,3,,65795,65797,6141,763,766,766,0,62300,2700,1473,10579,53743,729,727,3,2,2,39,2,708,19,6072.461601,6072.646189,0.000000,566.775389,70.420065,1.164187,1.164222,67.282081,67.097493,3.599453,0.000000,0.275103,0.274348,65717,64.236390,762,4,3,0,0,0,0,1,2,0,2732,2387,788,167,303,150,2484,2028,623,80,60,15
5315,2021-10-19,19.10.2021,195,1,195,0,1,1,0,7,87,0,191,4,,65990,65993,6148,763,767,767,0,62400,2800,1473,10770,53747,810,808,3,3,3,39,1,788,21,6090.458866,6090.735747,0.512821,567.421444,70.420065,1.162244,1.162297,74.757868,74.573280,3.599453,0.000000,0.371287,0.370370,65797,67.282081,763,5,4,0,0,0,0,6,0,0,2737,2391,788,167,303,150,2490,2028,623,80,60,15
5315,2021-10-20,20.10.2021,174,1,173,0,0,0,0,17,150,0,167,7,,66164,66167,6165,763,767,767,0,62600,2800,1473,10937,53754,864,863,3,3,3,51,1,838,25,6106.517963,6106.794844,0.000000,568.990437,70.420065,1.159188,1.159241,79.741725,79.649432,4.706977,0.000000,0.347625,0.347222,65992,74.757868,763,9,8,0,0,0,0,5,3,0,2746,2399,788,167,303,150,2495,2031,623,80,70,15
5315,2021-10-21,21.10.2021,176,1,174,0,1,1,0,11,71,0,172,4,,66340,66342,6176,763,768,768,0,62600,2900,1473,11109,53758,915,913,3,3,3,60,1,886,28,6122.761648,6122.946235,0.568182,570.005667,70.420065,1.157638,1.157673,84.448702,84.264115,5.537620,0.000000,0.328587,0.327869,66166,79.741725,763,15,5,0,0,0,0,2,3,1,2761,2404,788,167,303,150,2497,2034,624,100,70,14
5315,2021-10-22,22.10.2021,163,1,162,1,0,0,0,13,109,1,156,6,,66503,66505,6189,764,768,768,0,62700,3000,1474,11265,53764,946,945,3,3,3,68,2,913,31,6137.805515,6137.990102,0.000000,571.205484,70.512359,1.154800,1.154835,87.309806,87.217512,6.275969,0.000000,0.317460,0.317125,66342,84.448702,763,2,5,0,0,0,0,2,1,2,2763,2409,788,167,303,150,2499,2035,626,100,70,12
5315,2021-10-23,23.10.2021,191,0,191,0,0,0,0,2,96,0,189,2,,66694,66696,6191,764,768,768,0,62800,3100,1474,11454,53766,1059,1058,3,3,3,66,1,1027,31,6155.433605,6155.618192,0.000000,571.390072,70.512359,1.151493,1.151528,97.738990,97.646696,6.091382,0.000000,0.283554,0.283286,66505,87.309806,764,12,2,0,0,0,0,4,3,1,2775,2411,788,167,303,150,2503,2038,627,110,70,11
5315,2021-10-24,24.10.2021,66,1,66,0,0,0,0,3,52,0,64,2,,66760,66763,6194,764,768,768,0,62900,3100,1474,11518,53768,1045,1046,2,2,2,59,1,1016,28,6161.524987,6161.801868,0.000000,571.666953,70.512359,1.150338,1.150389,96.446879,96.539172,5.445326,0.000000,0.191205,0.191388,66696,97.738990,764,4,0,1,0,0,0,1,1,0,2779,2411,789,167,303,150,2504,2039,627,110,70,12
5315,2021-10-25,25.10.2021,149,0,149,0,0,0,0,8,70,0,146,3,,66909,66912,6202,764,768,768,0,63000,3200,1474,11664,53771,1114,1115,1,2,2,61,1,1085,28,6175.276743,6175.553624,0.000000,572.405302,70.512359,1.147776,1.147828,102.815141,102.907435,5.629913,0.000000,0.179372,0.179533,66762,96.446879,764,7,2,0,0,0,0,2,2,0,2786,2413,789,167,303,150,2506,2041,627,110,70,12
5315,2021-10-26,26.10.2021,259,1,259,1,1,0,0,5,111,0,255,4,,67168,67172,6207,765,769,768,0,63100,3300,1474,11919,53775,1178,1179,2,2,1,59,1,1149,28,6199.180801,6199.549976,0.000000,572.866770,70.604653,1.144822,1.143402,108.721936,108.814229,5.445326,0.000000,0.169635,0.084890,66911,102.815141,764,8,5,0,0,0,0,6,2,0,2794,2418,789,167,303,150,2512,2043,627,120,70,12
