kreis,datumstd,datum,anzahlM,anzahlE,anzahlEM,verstorben,verstorbenE,verstorbenM,verstorbenMOhneSterbedatum,hospitalisiert,genesen,geimpftVollst,geimpftUnvollst,geimpftKA,r,anzahlMKumuliert,anzahlEKumuliert,hospitalisiertKumuliert,verstorbenKumuliert,verstorbenEKumuliert,verstorbenMKumuliert,verstorbenMOhneSterbedatumKumuliert,genesenKumuliert,krankKumuliert,geimpftVollstKumuliert,geimpftUnvollstKumuliert,geimpftKAKumuliert,anzahlM7Tage,anzahlE7Tage,verstorben7Tage,verstorbenE7Tage,verstorbenM7Tage,hospitalisiert7Tage,geimpftVollst7Tage,geimpftUnvollst7Tage,geimpftKA7Tage,rateMKumuliert,rateEKumuliert,anteilVerstorbenM,rateHospitalisiertKumuliert,rateVerstorbenKumuliert,anteilVerstorbenEKumuliert,anteilVerstorbenMKumuliert,rateM7Tage,rateE7Tage,rateHospitalisiert7Tage,rateVerstorben7Tage,anteilVerstorbenE7Tage,anteilVerstorbenM7Tage,anzahlMKumuliertVortag,rateM7TageVortag,verstorbenKumuliertVortag,anzahlEA70,anzahlEA80,anzahlEA90,verstorbenA70,verstorbenA80,verstorbenA90,genesenA70,genesenA80,genesenA90,anzahlEA70Kumuliert,anzahlEA80Kumuliert,anzahlEA90Kumuliert,verstorbenA70Kumuliert,verstorbenA80Kumuliert,verstorbenA90Kumuliert,genesenA70Kumuliert,genesenA80Kumuliert,genesenA90Kumuliert,krankA70Kumuliert,krankA80Kumuliert,krankA90Kumuliert
5515,2021-10-21,21.10.2021,42,28,6,0,0,0,0,0,14,27,14,1,,10211,10311,803,131,132,132,0,9800,340,668,1288,8255,161,195,1,1,1,4,89,66,6,3227.213396,3258.818658,0.000000,253.790261,41.402894,1.280186,1.292724,50.884473,61.630263,1.264211,0.000000,0.512821,0.621118,10169,42.667105,131,4,1,0,0,0,0,0,0,0,314,298,98,22,56,33,277,227,62,15,15,3
5515,2021-10-22,22.10.2021,37,29,4,0,0,0,0,1,25,26,11,0,,10248,10344,804,131,132,132,0,9900,340,694,1299,8255,184,204,1,1,1,5,106,74,4,3238.907343,3269.248395,0.000000,254.106314,41.402894,1.276102,1.288056,58.153684,64.474736,1.580263,0.000000,0.490196,0.543478,10211,50.884473,131,0,0,1,0,0,0,1,0,0,314,298,99,22,56,33,278,227,62,14,15,4
5515,2021-10-23,23.10.2021,26,36,1,0,0,0,0,1,11,22,4,0,,10274,10381,805,131,132,132,0,9900,370,716,1303,8255,177,220,1,0,0,4,111,64,2,3247.124711,3280.942343,0.000000,254.422366,41.402894,1.271554,1.284797,55.941315,69.531578,1.264211,0.000000,0.000000,0.000000,10248,58.153684,131,1,1,0,0,0,0,0,1,0,315,299,99,22,56,33,278,228,62,15,15,4
5515,2021-10-24,24.10.2021,18,30,2,0,0,0,0,2,14,12,6,0,,10292,10413,807,131,132,132,0,9900,390,728,1309,8255,189,239,0,0,0,5,122,65,2,3252.813659,3291.056027,0.000000,255.054472,41.402894,1.267646,1.282550,59.733947,75.536578,1.580263,0.000000,0.000000,0.000000,10274,55.941315,131,0,0,0,0,0,0,1,0,0,315,299,99,22,56,33,279,228,62,14,15,4
5515,2021-10-25,25.10.2021,13,36,0,0,0,0,0,0,22,9,4,0,,10305,10449,807,131,132,132,0,9900,400,737,1313,8255,194,238,0,0,0,4,128,64,2,3256.922343,3302.433921,0.000000,255.054472,41.402894,1.263279,1.280932,61.314210,75.220526,1.264211,0.000000,0.000000,0.000000,10292,59.733947,131,2,0,0,0,0,0,3,2,0,317,299,99,22,56,33,282,230,62,13,13,4
5515,2021-10-26,26.10.2021,61,29,7,1,0,0,0,0,16,29,31,1,,10366,10485,807,132,132,132,0,9900,420,766,1344,8256,229,242,1,0,0,4,143,83,3,3276.201553,3313.811816,0.000000,255.054472,41.718947,1.258941,1.273394,72.376052,76.484736,1.264211,0.000000,0.000000,0.000000,10305,61.314210,131,1,0,0,0,1,0,1,0,0,318,299,99,22,57,33,283,230,62,13,12,4
5515,2021-10-27,27.10.2021,55,37,14,0,0,0,0,4,26,24,30,1,,10421,10536,811,132,132,132,0,10000,450,790,1374,8257,252,259,1,0,0,8,149,100,3,3293.584448,3329.930500,0.000000,256.318682,41.718947,1.252847,1.266673,79.645263,81.857631,2.528421,0.000000,0.000000,0.000000,10366,72.376052,132,0,1,0,0,0,0,0,0,0,318,300,99,22,57,33,283,230,62,13,13,4
5515,2021-10-28,28.10.2021,58,22,7,0,0,0,0,1,19,36,19,3,,10479,10565,812,132,132,132,0,10000,460,826,1393,8260,268,254,1,0,0,9,158,105,5,3311.915500,3339.096026,0.000000,256.634735,41.718947,1.249408,1.259662,84.702105,80.277368,2.844474,0.000000,0.000000,0.000000,10422,79.961315,132,1,0,1,0,0,0,0,0,0,319,300,100,22,57,33,283,230,62,14,13,5
5515,2021-10-29,29.10.2021,55,22,9,0,0,0,0,0,24,17,36,2,,10534,10596,812,132,132,132,0,10000,460,843,1429,8262,286,252,1,0,0,8,149,130,7,3329.298395,3348.893658,0.000000,256.634735,41.718947,1.245753,1.253085,90.391052,79.645263,2.528421,0.000000,0.000000,0.000000,10480,85.018157,132,3,1,0,0,0,0,0,1,1,322,301,100,22,57,33,283,231,63,17,13,4
5515,2021-10-30,30.10.2021,30,22,1,0,0,0,0,0,19,18,11,1,,10564,10619,812,132,132,132,0,10000,470,861,1440,8263,290,238,1,0,0,7,145,137,8,3338.779974,3356.162868,0.000000,256.634735,41.718947,1.243055,1.249527,91.655262,75.220526,2.212368,0.000000,0.000000,0.000000,10535,90.707105,132,0,0,0,0,0,0,1,3,0,322,301,100,22,57,33,284,234,63,16,10,4
