kreis,datumstd,datum,anzahlM,anzahlE,anzahlEM,verstorben,verstorbenE,verstorbenM,verstorbenMOhneSterbedatum,hospitalisiert,genesen,r,anzahlMKumuliert,anzahlEKumuliert,hospitalisiertKumuliert,verstorbenKumuliert,verstorbenEKumuliert,verstorbenMKumuliert,verstorbenMOhneSterbedatumKumuliert,genesenKumuliert,krankKumuliert,anzahlM7Tage,anzahlE7Tage,verstorben7Tage,verstorbenE7Tage,verstorbenM7Tage,hospitalisiert7Tage,rateMKumuliert,rateEKumuliert,anteilVerstorbenM,rateHospitalisiertKumuliert,rateVerstorbenKumuliert,anteilVerstorbenEKumuliert,anteilVerstorbenMKumuliert,rateM7Tage,rateE7Tage,rateHospitalisiert7Tage,rateVerstorben7Tage,anteilVerstorbenE7Tage,anteilVerstorbenM7Tage,anzahlMKumuliertVortag,rateM7TageVortag,verstorbenKumuliertVortag,anzahlEA70,anzahlEA80,anzahlEA90,verstorbenA70,verstorbenA80,verstorbenA90,genesenA70,genesenA80,genesenA90,anzahlEA70Kumuliert,anzahlEA80Kumuliert,anzahlEA90Kumuliert,verstorbenA70Kumuliert,verstorbenA80Kumuliert,verstorbenA90Kumuliert,genesenA70Kumuliert,genesenA80Kumuliert,genesenA90Kumuliert,krankA70Kumuliert,krankA80Kumuliert,krankA90Kumuliert
5119,2021-10-01,01.10.2021,16,20,2,0,0,0,0,1,28,,12712,12764,1242,379,382,382,0,12100,330,141,134,1,0,1,8,6065.869,6090.683,0.000,592.653,180.850,2.993,3.005,67.282,63.942,3.817,0.000,0.000,0.709,12696,70.145,379,1,0,0,0,0,0,0,1,0,665,796,284,71,169,73,587,625,211,7,2,0
5119,2021-10-02,02.10.2021,20,10,3,1,0,0,0,0,21,,12732,12777,1242,380,382,382,0,12100,320,138,118,1,0,0,6,6075.413,6096.886,0.000,592.653,181.327,2.990,3.000,65.850,56.307,2.863,0.000,0.000,0.000,12712,67.759,379,0,1,0,1,0,0,0,0,0,665,797,284,72,169,73,587,625,211,6,3,0
5119,2021-10-03,03.10.2021,6,8,0,0,0,0,0,1,15,,12738,12785,1243,380,382,382,0,12100,320,139,118,1,0,0,6,6078.276,6100.703,0.000,593.131,181.327,2.988,2.999,66.328,56.307,2.863,0.000,0.000,0.000,12732,66.328,380,1,0,0,0,0,0,0,0,0,666,797,284,72,169,73,587,625,211,7,3,0
5119,2021-10-04,04.10.2021,4,17,0,0,0,0,0,1,26,,12742,12802,1244,380,382,382,0,12100,310,139,116,1,0,0,7,6080.185,6108.815,0.000,593.608,181.327,2.984,2.998,66.328,55.352,3.340,0.000,0.000,0.000,12738,66.805,380,0,1,0,0,0,0,1,0,0,666,798,284,72,169,73,588,625,211,6,4,0
5119,2021-10-05,05.10.2021,19,12,2,0,0,0,0,3,21,,12761,12816,1247,380,382,382,0,12100,300,126,110,1,0,0,10,6089.251,6115.496,0.000,595.039,181.327,2.981,2.993,60.124,52.489,4.772,0.000,0.000,0.000,12742,66.805,380,0,0,0,0,0,0,0,0,0,666,798,284,72,169,73,588,625,211,6,4,0
5119,2021-10-06,06.10.2021,24,9,4,0,0,0,0,3,24,,12785,12829,1250,380,382,382,0,12200,290,114,103,1,0,0,12,6100.703,6121.699,0.000,596.471,181.327,2.978,2.988,54.398,49.149,5.726,0.000,0.000,0.000,12761,60.601,380,0,0,0,0,0,0,1,1,0,666,798,284,72,169,73,589,626,211,5,3,0
5119,2021-10-07,07.10.2021,20,12,4,2,0,0,0,1,17,,12805,12845,1251,382,382,382,0,12200,290,109,103,3,0,0,10,6110.247,6129.334,0.000,596.948,182.281,2.974,2.983,52.012,49.149,4.772,0.000,0.000,0.000,12785,54.398,380,0,0,1,0,1,0,0,0,0,666,798,285,72,170,73,589,626,211,5,2,1
5119,2021-10-08,08.10.2021,14,11,0,0,0,0,0,1,26,,12819,12856,1252,382,382,382,0,12200,270,107,92,3,0,0,10,6116.927,6134.583,0.000,597.425,182.281,2.971,2.980,51.058,43.900,4.772,0.000,0.000,0.000,12805,52.012,382,0,1,1,0,0,0,1,0,0,666,799,286,72,170,73,590,626,211,4,3,2
5119,2021-10-09,09.10.2021,19,6,2,0,0,0,0,0,27,,12838,12864,1252,382,382,382,0,12200,250,106,87,2,0,0,10,6125.994,6138.400,0.000,597.425,182.281,2.970,2.976,50.581,41.514,4.772,0.000,0.000,0.000,12819,51.058,382,0,1,0,0,0,0,0,0,0,666,800,286,72,170,73,590,626,211,4,4,2
5119,2021-10-10,10.10.2021,4,10,0,0,0,0,0,0,10,,12842,12874,1252,382,382,382,0,12200,250,104,89,2,0,0,9,6127.902,6143.172,0.000,597.425,182.281,2.967,2.975,49.626,42.469,4.295,0.000,0.000,0.000,12838,50.581,382,0,0,1,0,0,0,0,0,0,666,800,287,72,170,73,590,626,211,4,4,3
