kreis,datumstd,datum,anzahlM,anzahlE,anzahlEM,verstorben,verstorbenE,verstorbenM,verstorbenMOhneSterbedatum,hospitalisiert,genesen,r,anzahlMKumuliert,anzahlEKumuliert,hospitalisiertKumuliert,verstorbenKumuliert,verstorbenEKumuliert,verstorbenMKumuliert,verstorbenMOhneSterbedatumKumuliert,genesenKumuliert,krankKumuliert,anzahlM7Tage,anzahlE7Tage,verstorben7Tage,verstorbenE7Tage,verstorbenM7Tage,hospitalisiert7Tage,rateMKumuliert,rateEKumuliert,anteilVerstorbenM,rateHospitalisiertKumuliert,rateVerstorbenKumuliert,anteilVerstorbenEKumuliert,anteilVerstorbenMKumuliert,rateM7Tage,rateE7Tage,rateHospitalisiert7Tage,rateVerstorben7Tage,anteilVerstorbenE7Tage,anteilVerstorbenM7Tage,anzahlMKumuliertVortag,rateM7TageVortag,verstorbenKumuliertVortag,anzahlEA70,anzahlEA80,anzahlEA90,verstorbenA70,verstorbenA80,verstorbenA90,genesenA70,genesenA80,genesenA90,anzahlEA70Kumuliert,anzahlEA80Kumuliert,anzahlEA90Kumuliert,verstorbenA70Kumuliert,verstorbenA80Kumuliert,verstorbenA90Kumuliert,genesenA70Kumuliert,genesenA80Kumuliert,genesenA90Kumuliert,krankA70Kumuliert,krankA80Kumuliert,krankA90Kumuliert
5762,2021-09-10,10.09.2021,12,5,6,0,0,0,0,2,18,,5666,5697,378,143,144,144,0,5300,220,118,107,2,0,0,6,4054.992,4077.178,0.000,270.524,102.341,2.528,2.541,84.449,76.577,4.294,0.000,0.000,0.000,5654,85.881,143,0,0,0,0,0,0,0,0,0,292,373,126,29,68,33,258,298,92,5,7,1
5762,2021-09-11,11.09.2021,19,7,8,0,0,0,0,1,21,,5685,5712,379,143,144,144,0,5400,210,128,114,1,0,0,6,4068.590,4087.913,0.000,271.239,102.341,2.521,2.533,91.606,81.586,4.294,0.000,0.000,0.000,5666,84.449,143,0,0,1,0,0,0,0,2,0,292,373,127,29,68,33,258,300,92,5,5,2
5762,2021-09-12,12.09.2021,9,10,3,0,0,0,0,0,4,,5694,5725,379,143,144,144,0,5400,220,123,118,0,0,0,6,4075.031,4097.217,0.000,271.239,102.341,2.515,2.529,88.028,84.449,4.294,0.000,0.000,0.000,5685,91.606,143,0,0,0,0,0,0,0,0,0,292,373,127,29,68,33,258,300,92,5,5,2
5762,2021-09-13,13.09.2021,5,9,3,0,0,0,0,0,15,,5699,5737,379,143,144,144,0,5400,220,126,109,0,0,0,6,4078.609,4105.805,0.000,271.239,102.341,2.510,2.527,90.175,78.008,4.294,0.000,0.000,0.000,5694,88.028,143,0,0,0,0,0,0,1,0,0,292,373,127,29,68,33,259,300,92,4,5,2
5762,2021-09-14,14.09.2021,25,4,1,0,0,0,0,0,14,,5724,5742,379,143,144,144,0,5400,210,127,94,0,0,0,6,4096.501,4109.383,0.000,271.239,102.341,2.508,2.516,90.890,67.273,4.294,0.000,0.000,0.000,5699,90.175,143,0,0,0,0,0,0,0,0,0,292,373,127,29,68,33,259,300,92,4,5,2
5762,2021-09-15,15.09.2021,5,8,1,0,0,0,0,0,15,,5729,5751,379,143,144,144,0,5400,210,99,85,0,0,0,6,4100.079,4115.824,0.000,271.239,102.341,2.504,2.514,70.851,60.832,4.294,0.000,0.000,0.000,5724,90.890,143,0,0,0,0,0,0,0,0,0,292,373,127,29,68,33,259,300,92,4,5,2
5762,2021-09-16,16.09.2021,21,1,14,0,0,0,0,1,17,,5750,5766,380,143,144,144,0,5400,200,96,80,0,0,0,4,4115.109,4126.559,0.000,271.955,102.341,2.497,2.504,68.704,57.254,2.863,0.000,0.000,0.000,5729,70.851,143,0,0,0,0,0,0,0,0,0,292,373,127,29,68,33,259,300,92,4,5,2
5762,2021-09-17,17.09.2021,3,0,0,0,0,0,0,0,17,,5753,5766,380,143,144,144,0,5400,190,87,69,0,0,0,2,4117.256,4126.559,0.000,271.955,102.341,2.497,2.503,62.263,49.381,1.431,0.000,0.000,0.000,5750,68.704,143,0,0,0,0,0,0,0,0,0,292,373,127,29,68,33,259,300,92,4,5,2
5762,2021-09-18,18.09.2021,8,3,3,0,0,0,0,0,9,,5761,5772,380,143,144,144,0,5400,180,76,60,0,0,0,1,4122.981,4130.853,0.000,271.955,102.341,2.495,2.500,54.391,42.940,0.716,0.000,0.000,0.000,5753,62.263,143,0,0,0,0,0,0,0,0,0,292,373,127,29,68,33,259,300,92,4,5,2
5762,2021-09-19,19.09.2021,7,1,3,0,0,0,0,0,8,,5768,5776,380,143,144,144,0,5500,180,74,51,0,0,0,1,4127.991,4133.716,0.000,271.955,102.341,2.493,2.497,52.960,36.499,0.716,0.000,0.000,0.000,5761,54.391,143,0,0,0,0,0,0,1,0,0,292,373,127,29,68,33,260,300,92,3,5,2
5762,2021-09-20,20.09.2021,2,2,2,0,0,0,0,0,21,,5770,5780,380,143,144,144,0,5500,160,71,43,0,0,0,1,4129.422,4136.579,0.000,271.955,102.341,2.491,2.496,50.813,30.774,0.716,0.000,0.000,0.000,5768,52.960,143,0,1,0,0,0,0,1,1,0,292,374,127,29,68,33,261,301,92,2,5,2
5762,2021-09-21,21.09.2021,7,3,1,0,0,0,0,0,20,,5777,5784,380,143,144,144,0,5500,150,53,42,0,0,0,1,4134.432,4139.441,0.000,271.955,102.341,2.490,2.493,37.931,30.058,0.716,0.000,0.000,0.000,5770,50.813,143,0,0,0,0,0,0,0,0,0,292,374,127,29,68,33,261,301,92,2,5,2
5762,2021-09-22,22.09.2021,9,0,4,0,0,0,0,0,18,,5786,5788,380,143,144,144,0,5500,130,57,37,0,0,0,1,4140.873,4142.304,0.000,271.955,102.341,2.488,2.489,40.793,26.480,0.716,0.000,0.000,0.000,5777,37.931,143,0,0,0,0,0,0,1,0,0,292,374,127,29,68,33,262,301,92,1,5,2
5762,2021-09-23,23.09.2021,5,0,5,1,0,0,0,1,17,,5791,5793,381,144,144,144,0,5500,120,41,27,1,0,0,1,4144.451,4145.882,0.000,272.671,103.057,2.486,2.487,29.343,19.323,0.716,0.000,0.000,0.000,5786,40.793,143,0,0,0,0,0,0,1,1,0,292,374,127,29,68,33,263,302,92,0,4,2
5762,2021-09-24,24.09.2021,3,0,1,0,0,0,0,0,25,,5794,5794,381,144,144,144,0,5600,100,41,28,1,0,0,1,4146.598,4146.598,0.000,272.671,103.057,2.485,2.485,29.343,20.039,0.716,0.000,0.000,0.000,5791,29.343,144,0,0,0,0,0,0,0,1,1,292,374,127,29,68,33,263,303,93,0,3,1
