kreis,datumstd,datum,anzahlM,anzahlE,anzahlEM,verstorben,verstorbenE,verstorbenM,verstorbenMOhneSterbedatum,hospitalisiert,genesen,r,anzahlMKumuliert,anzahlEKumuliert,hospitalisiertKumuliert,verstorbenKumuliert,verstorbenEKumuliert,verstorbenMKumuliert,verstorbenMOhneSterbedatumKumuliert,genesenKumuliert,krankKumuliert,anzahlM7Tage,anzahlE7Tage,verstorben7Tage,verstorbenE7Tage,verstorbenM7Tage,hospitalisiert7Tage,rateMKumuliert,rateEKumuliert,anteilVerstorbenM,rateHospitalisiertKumuliert,rateVerstorbenKumuliert,anteilVerstorbenEKumuliert,anteilVerstorbenMKumuliert,rateM7Tage,rateE7Tage,rateHospitalisiert7Tage,rateVerstorben7Tage,anteilVerstorbenE7Tage,anteilVerstorbenM7Tage,anzahlMKumuliertVortag,rateM7TageVortag,verstorbenKumuliertVortag,anzahlEA70,anzahlEA80,anzahlEA90,verstorbenA70,verstorbenA80,verstorbenA90,genesenA70,genesenA80,genesenA90,anzahlEA70Kumuliert,anzahlEA80Kumuliert,anzahlEA90Kumuliert,verstorbenA70Kumuliert,verstorbenA80Kumuliert,verstorbenA90Kumuliert,genesenA70Kumuliert,genesenA80Kumuliert,genesenA90Kumuliert,krankA70Kumuliert,krankA80Kumuliert,krankA90Kumuliert
5122,2021-09-22,22.09.2021,7,13,3,0,0,0,0,0,26,,10763,10800,948,206,207,207,0,10400,190,69,75,2,0,0,5,6760.976,6784.218,0.000,595.504,129.403,1.917,1.923,43.344,47.113,3.141,0.000,0.000,0.000,10756,47.741,206,0,0,0,0,0,0,0,2,0,432,449,142,51,81,34,379,360,108,2,8,0
5122,2021-09-23,23.09.2021,12,11,4,0,0,0,0,2,12,,10775,10815,950,206,207,207,0,10400,200,76,87,1,0,0,7,6768.514,6793.640,0.000,596.760,129.403,1.914,1.921,47.741,54.651,4.397,0.000,0.000,0.000,10763,43.344,206,1,0,0,0,0,0,0,0,0,433,449,142,51,81,34,379,360,108,3,8,0
5122,2021-09-24,24.09.2021,19,3,5,0,0,0,0,3,18,,10794,10823,953,206,207,207,0,10400,190,82,90,1,0,0,9,6780.449,6798.666,0.000,598.644,129.403,1.913,1.918,51.510,56.535,5.654,0.000,0.000,0.000,10775,47.741,206,0,1,0,0,0,0,0,2,0,433,450,142,51,81,34,379,362,108,3,7,0
5122,2021-09-25,25.09.2021,14,17,4,0,0,0,0,1,16,,10808,10844,954,206,207,207,0,10400,190,88,94,1,0,0,9,6789.243,6811.857,0.000,599.273,129.403,1.909,1.915,55.279,59.048,5.654,0.000,0.000,0.000,10794,51.510,206,0,0,0,0,0,0,0,0,0,433,450,142,51,81,34,379,362,108,3,7,0
5122,2021-09-26,26.09.2021,0,9,0,0,0,0,0,0,7,,10808,10853,954,206,207,207,0,10500,190,88,95,1,0,0,9,6789.243,6817.511,,599.273,129.403,1.907,1.915,55.279,59.676,5.654,0.000,0.000,0.000,10808,55.279,206,0,0,0,0,0,0,0,1,0,433,450,142,51,81,34,379,363,108,3,6,0
5122,2021-09-27,27.09.2021,22,12,6,0,0,0,0,2,15,,10830,10871,956,206,207,207,0,10500,200,93,97,0,0,0,11,6803.063,6828.818,0.000,600.529,129.403,1.904,1.911,58.420,60.932,6.910,0.000,0.000,0.000,10808,55.279,206,1,0,0,0,0,0,1,1,0,434,450,142,51,81,34,380,364,108,3,5,0
5122,2021-09-28,28.09.2021,18,7,3,0,0,0,0,2,19,,10848,10881,958,206,207,207,0,10500,190,92,97,0,0,0,10,6814.370,6835.100,0.000,601.785,129.403,1.902,1.908,57.791,60.932,6.282,0.000,0.000,0.000,10830,58.420,206,0,0,0,0,0,0,0,0,0,434,450,142,51,81,34,380,364,108,3,5,0
5122,2021-09-29,29.09.2021,20,14,2,0,0,0,0,3,14,,10868,10897,961,206,207,207,0,10500,190,105,97,0,0,0,13,6826.933,6845.150,0.000,603.670,129.403,1.900,1.905,65.958,60.932,8.166,0.000,0.000,0.000,10848,57.791,206,0,0,0,0,0,0,1,1,0,434,450,142,51,81,34,381,365,108,2,4,0
5122,2021-09-30,30.09.2021,16,8,5,0,0,0,0,0,6,,10884,10910,961,206,207,207,0,10500,200,109,95,0,0,0,11,6836.984,6853.316,0.000,603.670,129.403,1.897,1.902,68.470,59.676,6.910,0.000,0.000,0.000,10868,65.958,206,0,0,0,0,0,0,0,0,0,434,450,142,51,81,34,381,365,108,2,4,0
5122,2021-10-01,01.10.2021,12,17,2,0,0,0,0,0,6,,10896,10929,961,206,207,207,0,10500,210,102,106,0,0,0,8,6844.522,6865.252,0.000,603.670,129.403,1.894,1.900,64.073,66.586,5.025,0.000,0.000,0.000,10884,68.470,206,0,0,0,0,0,0,0,1,0,434,450,142,51,81,34,381,366,108,2,3,0
