kreis,datumstd,datum,anzahlM,anzahlE,anzahlEM,verstorben,verstorbenE,verstorbenM,verstorbenMOhneSterbedatum,hospitalisiert,genesen,r,anzahlMKumuliert,anzahlEKumuliert,hospitalisiertKumuliert,verstorbenKumuliert,verstorbenEKumuliert,verstorbenMKumuliert,verstorbenMOhneSterbedatumKumuliert,genesenKumuliert,krankKumuliert,anzahlM7Tage,anzahlE7Tage,verstorben7Tage,verstorbenE7Tage,verstorbenM7Tage,hospitalisiert7Tage,rateMKumuliert,rateEKumuliert,anteilVerstorbenM,rateHospitalisiertKumuliert,rateVerstorbenKumuliert,anteilVerstorbenEKumuliert,anteilVerstorbenMKumuliert,rateM7Tage,rateE7Tage,rateHospitalisiert7Tage,rateVerstorben7Tage,anteilVerstorbenE7Tage,anteilVerstorbenM7Tage,anzahlMKumuliertVortag,rateM7TageVortag,verstorbenKumuliertVortag,anzahlEA70,anzahlEA80,anzahlEA90,verstorbenA70,verstorbenA80,verstorbenA90,genesenA70,genesenA80,genesenA90,anzahlEA70Kumuliert,anzahlEA80Kumuliert,anzahlEA90Kumuliert,verstorbenA70Kumuliert,verstorbenA80Kumuliert,verstorbenA90Kumuliert,genesenA70Kumuliert,genesenA80Kumuliert,genesenA90Kumuliert,krankA70Kumuliert,krankA80Kumuliert,krankA90Kumuliert
5711,2021-09-30,30.09.2021,38,21,12,1,0,0,0,2,68,,19271,19316,1212,371,372,372,0,17900,1000,214,205,3,0,1,9,5778.255,5791.748,0.000,363.408,111.241,1.926,1.930,64.166,61.468,2.699,0.000,0.000,0.467,19233,68.064,370,1,4,0,1,0,0,0,3,0,726,784,322,74,159,92,608,590,216,40,40,14
5711,2021-10-01,01.10.2021,28,14,8,0,0,0,0,1,56,,19299,19338,1213,371,372,372,0,18000,960,207,193,3,0,0,6,5786.650,5798.344,0.000,363.708,111.241,1.924,1.928,62.067,57.870,1.799,0.000,0.000,0.000,19271,64.166,371,2,0,0,0,0,0,1,0,0,728,784,322,74,159,92,609,590,216,50,40,14
5711,2021-10-02,02.10.2021,17,13,8,0,0,0,0,0,36,,19316,19359,1213,371,372,372,0,18000,950,194,192,2,0,0,6,5791.748,5804.641,0.000,363.708,111.241,1.922,1.926,58.169,57.570,1.799,0.000,0.000,0.000,19299,62.067,371,1,2,0,0,0,0,2,0,0,729,786,322,74,159,92,611,590,216,40,40,14
5711,2021-10-03,03.10.2021,7,23,5,0,1,1,0,5,43,,19323,19387,1218,371,373,373,0,18100,930,195,187,2,1,1,11,5793.847,5813.037,14.286,365.208,111.241,1.924,1.930,58.469,56.070,3.298,0.000,0.535,0.513,19316,58.169,371,6,3,1,0,0,0,1,0,0,735,789,323,74,159,92,612,590,216,50,40,15
5711,2021-10-04,04.10.2021,39,17,6,0,0,0,0,2,60,,19362,19410,1220,371,373,373,0,18100,900,209,178,2,1,1,11,5805.540,5819.933,0.000,365.807,111.241,1.922,1.926,62.667,53.372,3.298,0.000,0.562,0.478,19323,58.469,371,1,1,2,0,0,0,3,2,0,736,790,325,74,159,92,615,592,216,50,40,17
5711,2021-10-05,05.10.2021,33,10,16,0,0,0,0,5,70,,19395,19436,1225,371,373,373,0,18200,850,195,177,2,1,1,15,5815.435,5827.729,0.000,367.306,111.241,1.919,1.923,58.469,53.072,4.498,0.000,0.565,0.513,19362,62.667,371,2,3,0,0,0,0,1,0,1,738,793,325,74,159,92,616,592,217,50,40,16
5711,2021-10-06,06.10.2021,23,11,9,0,0,0,0,1,56,,19418,19456,1226,371,373,373,0,18300,820,185,173,1,1,1,16,5822.332,5833.726,0.000,367.606,111.241,1.917,1.921,55.471,51.873,4.797,0.000,0.578,0.541,19395,58.469,371,0,1,0,0,0,0,7,1,2,738,794,325,74,159,92,623,593,219,40,40,14
5711,2021-10-07,07.10.2021,33,19,14,0,0,0,0,1,59,,19451,19489,1227,371,373,373,0,18300,790,180,173,0,1,1,15,5832.226,5843.620,0.000,367.906,111.241,1.914,1.918,53.972,51.873,4.498,0.000,0.578,0.556,19417,55.171,371,0,1,0,0,0,0,2,0,3,738,795,325,74,159,92,625,593,222,40,40,11
5711,2021-10-08,08.10.2021,24,12,5,1,0,0,0,0,58,,19475,19506,1227,372,373,373,0,18400,750,176,168,1,1,1,14,5839.423,5848.718,0.000,367.906,111.541,1.912,1.915,52.772,50.373,4.198,0.000,0.595,0.568,19450,53.672,371,0,0,0,0,1,0,3,1,0,738,795,325,74,160,92,628,594,222,40,40,11
5711,2021-10-09,09.10.2021,16,17,3,0,0,0,0,1,41,,19491,19526,1228,372,373,373,0,18400,730,175,167,1,1,1,15,5844.220,5854.715,0.000,368.206,111.541,1.910,1.914,52.472,50.074,4.498,0.000,0.599,0.571,19474,52.472,372,0,0,0,0,0,0,2,0,0,738,795,325,74,160,92,630,594,222,30,40,11
5711,2021-10-10,10.10.2021,6,17,1,1,0,0,0,0,21,,19497,19544,1228,373,373,373,0,18400,720,174,157,2,0,0,10,5846.019,5860.112,0.000,368.206,111.841,1.909,1.913,52.173,47.075,2.998,0.000,0.000,0.000,19490,52.173,372,1,0,0,0,0,1,1,1,0,739,795,325,74,160,93,631,595,222,30,40,10
5711,2021-10-11,11.10.2021,29,17,6,0,0,0,0,1,35,,19526,19567,1229,373,373,373,0,18500,710,164,157,2,0,0,9,5854.715,5867.008,0.000,368.506,111.841,1.906,1.910,49.174,47.075,2.699,0.000,0.000,0.000,19496,51.873,373,0,1,0,0,0,0,1,0,1,739,796,325,74,160,93,632,595,223,30,40,9
5711,2021-10-12,12.10.2021,30,4,6,0,0,0,0,0,60,,19556,19577,1229,373,373,373,0,18500,660,161,141,2,0,0,4,5863.710,5870.007,0.000,368.506,111.841,1.905,1.907,48.275,42.278,1.199,0.000,0.000,0.000,19525,48.874,373,1,1,0,0,0,0,1,1,2,740,797,325,74,160,93,633,596,225,30,40,7
5711,2021-10-13,13.10.2021,40,5,16,0,0,0,0,0,35,,19596,19598,1229,373,373,373,0,18600,650,178,142,2,0,0,3,5875.704,5876.303,0.000,368.506,111.841,1.903,1.903,53.372,42.578,0.900,0.000,0.000,0.000,19555,47.975,373,0,1,0,0,0,0,1,2,0,740,798,325,74,160,93,634,598,225,30,40,7
5711,2021-10-14,14.10.2021,11,0,9,0,0,0,0,0,104,,19607,19607,1229,373,373,373,0,18700,550,156,118,2,0,0,2,5879.002,5879.002,0.000,368.506,111.841,1.902,1.902,46.775,35.381,0.600,0.000,0.000,0.000,19571,46.176,373,0,0,0,0,0,0,9,13,4,740,798,325,74,160,93,643,611,229,20,30,3
