kreis,datumstd,datum,anzahlM,anzahlE,anzahlEM,verstorben,verstorbenE,verstorbenM,verstorbenMOhneSterbedatum,hospitalisiert,genesen,geimpftVollst,geimpftUnvollst,geimpftKA,r,anzahlMKumuliert,anzahlEKumuliert,hospitalisiertKumuliert,verstorbenKumuliert,verstorbenEKumuliert,verstorbenMKumuliert,verstorbenMOhneSterbedatumKumuliert,genesenKumuliert,krankKumuliert,geimpftVollstKumuliert,geimpftUnvollstKumuliert,geimpftKAKumuliert,anzahlM7Tage,anzahlE7Tage,verstorben7Tage,verstorbenE7Tage,verstorbenM7Tage,hospitalisiert7Tage,geimpftVollst7Tage,geimpftUnvollst7Tage,geimpftKA7Tage,rateMKumuliert,rateEKumuliert,anteilVerstorbenM,rateHospitalisiertKumuliert,rateVerstorbenKumuliert,anteilVerstorbenEKumuliert,anteilVerstorbenMKumuliert,rateM7Tage,rateE7Tage,rateHospitalisiert7Tage,rateVerstorben7Tage,anteilVerstorbenE7Tage,anteilVerstorbenM7Tage,anzahlMKumuliertVortag,rateM7TageVortag,verstorbenKumuliertVortag,anzahlEA70,anzahlEA80,anzahlEA90,verstorbenA70,verstorbenA80,verstorbenA90,genesenA70,genesenA80,genesenA90,anzahlEA70Kumuliert,anzahlEA80Kumuliert,anzahlEA90Kumuliert,verstorbenA70Kumuliert,verstorbenA80Kumuliert,verstorbenA90Kumuliert,genesenA70Kumuliert,genesenA80Kumuliert,genesenA90Kumuliert,krankA70Kumuliert,krankA80Kumuliert,krankA90Kumuliert
5566,2021-10-17,17.10.2021,16,18,5,0,0,0,0,0,21,4,12,0,,20470,20542,1240,337,338,338,0,19800,460,613,2614,17243,221,223,0,1,1,5,64,137,20,4567.188089,4583.252454,0.000000,276.664056,75.190151,1.645409,1.651197,49.308675,49.754907,1.115581,0.000000,0.448430,0.452489,20454,47.523745,337,0,0,0,0,0,0,1,0,0,741,757,232,66,143,60,655,595,167,20,19,5
5566,2021-10-18,18.10.2021,26,29,16,1,0,0,0,1,25,7,18,1,,20496,20587,1241,338,338,338,0,19800,470,620,2632,17244,211,233,1,1,1,5,56,138,17,4572.989110,4593.292682,0.000000,276.887172,75.413267,1.641813,1.649102,47.077513,51.986069,1.115581,0.000000,0.429185,0.473934,20470,49.308675,337,0,2,0,1,0,0,0,1,0,741,759,232,67,143,60,655,596,167,19,20,5
5566,2021-10-19,19.10.2021,65,26,32,0,0,0,0,0,36,17,45,3,,20561,20645,1241,338,338,338,0,19800,500,637,2677,17247,230,246,1,0,1,4,64,150,16,4587.491661,4606.233420,0.000000,276.887172,75.413267,1.637200,1.643889,51.316720,54.886579,0.892465,0.000000,0.000000,0.434783,20496,47.077513,338,1,1,0,0,0,0,1,3,0,742,760,232,67,143,60,656,599,167,19,18,5
5566,2021-10-20,20.10.2021,42,32,6,0,0,0,0,2,39,23,12,7,,20603,20683,1243,338,338,338,0,19900,500,660,2689,17254,233,238,1,0,0,4,78,136,19,4596.862540,4614.711834,0.000000,277.333405,75.413267,1.634192,1.640538,51.986069,53.101649,0.892465,0.000000,0.000000,0.000000,20561,51.316720,338,1,1,0,0,0,0,0,2,0,743,761,232,67,143,60,656,601,167,20,17,5
5566,2021-10-21,21.10.2021,45,27,16,0,0,0,0,1,24,13,31,1,,20648,20726,1244,338,338,338,0,19900,510,673,2720,17255,244,254,1,0,0,5,83,147,14,4606.902768,4624.305830,0.000000,277.556521,75.413267,1.630802,1.636962,54.440347,56.671508,1.115581,0.000000,0.000000,0.000000,20603,51.986069,338,0,0,0,0,0,0,1,0,0,743,761,232,67,143,60,657,601,167,19,17,5
5566,2021-10-22,22.10.2021,69,26,38,0,0,0,0,0,37,21,45,3,,20717,20790,1244,338,338,338,0,19900,540,694,2765,17258,280,290,1,0,0,5,93,171,16,4622.297784,4638.585265,0.000000,277.556521,75.413267,1.625782,1.631510,62.472529,64.703691,1.115581,0.000000,0.000000,0.000000,20648,54.440347,338,4,2,1,0,0,0,1,2,1,747,763,233,67,143,60,658,603,168,20,17,5
5566,2021-10-23,23.10.2021,36,24,12,0,0,0,0,1,29,13,22,1,,20753,20826,1245,338,338,338,0,19900,550,707,2787,17259,299,307,1,0,0,5,98,185,16,4630.329967,4646.617447,0.000000,277.779637,75.413267,1.622971,1.628680,66.711736,68.496666,1.115581,0.000000,0.000000,0.000000,20717,62.472529,338,1,0,0,0,0,0,2,2,0,748,763,233,67,143,60,660,605,168,20,15,5
5566,2021-10-24,24.10.2021,8,26,6,0,0,0,0,2,26,2,5,1,,20761,20858,1247,338,338,338,0,20000,550,709,2792,17260,291,316,1,0,0,7,96,178,17,4632.114896,4653.757165,0.000000,278.225869,75.413267,1.620481,1.628053,64.926807,70.504711,1.561813,0.000000,0.000000,0.000000,20753,66.711736,338,1,1,0,0,0,0,0,0,1,749,764,233,67,143,60,660,605,169,20,16,4
5566,2021-10-25,25.10.2021,45,38,23,0,0,0,0,0,36,11,32,2,,20806,20919,1247,338,338,338,0,20000,580,720,2824,17262,310,332,0,0,0,6,100,192,18,4642.155124,4667.367251,0.000000,278.225869,75.413267,1.615756,1.624531,69.166014,74.074570,1.338697,0.000000,0.000000,0.000000,20761,64.926807,338,2,0,0,0,0,0,2,0,1,751,764,233,67,143,60,662,605,170,20,16,3
5566,2021-10-26,26.10.2021,100,29,43,0,0,0,0,4,43,21,72,7,,20906,20991,1251,338,338,338,0,20000,610,741,2896,17269,345,346,0,0,0,10,104,219,22,4664.466741,4683.431616,0.000000,279.118334,75.413267,1.610214,1.616761,76.975080,77.198196,2.231162,0.000000,0.000000,0.000000,20806,69.166014,338,1,1,0,0,0,0,4,2,0,752,765,233,67,143,60,666,607,170,19,15,3
5566,2021-10-27,27.10.2021,68,19,23,0,0,0,0,0,44,23,38,7,,20974,21033,1251,338,338,338,0,20100,610,764,2934,17276,371,350,0,0,0,8,104,245,22,4679.638641,4692.802495,0.000000,279.118334,75.413267,1.606999,1.611519,82.776101,78.090661,1.784929,0.000000,0.000000,0.000000,20906,76.975080,338,2,1,0,0,0,0,5,4,1,754,766,233,67,143,60,671,611,171,16,12,2
5566,2021-10-28,28.10.2021,81,6,35,0,0,0,0,0,27,25,44,12,,21055,21074,1251,338,338,338,0,20100,620,789,2978,17288,407,348,0,0,0,7,116,258,33,4697.711051,4701.950258,0.000000,279.118334,75.413267,1.603872,1.605319,90.808283,77.644429,1.561813,0.000000,0.000000,0.000000,20974,82.776101,338,1,7,3,0,0,0,0,1,0,755,773,236,67,143,60,671,612,171,17,18,5
5566,2021-10-29,29.10.2021,82,4,61,0,0,0,0,0,30,9,66,7,,21137,21139,1251,338,338,338,0,20100,660,798,3044,17295,420,349,0,0,0,7,104,279,37,4716.006577,4716.452810,0.000000,279.118334,75.413267,1.598940,1.599092,93.708793,77.867545,1.561813,0.000000,0.000000,0.000000,21055,90.808283,338,1,3,0,0,0,0,2,1,0,756,776,236,67,143,60,673,613,171,16,20,5
5566,2021-10-30,30.10.2021,46,0,46,0,0,0,0,0,19,0,46,0,,21183,21185,1251,338,338,338,0,20200,680,798,3090,17295,430,359,0,0,0,6,91,303,36,4726.269921,4726.716154,0.000000,279.118334,75.413267,1.595468,1.595619,95.939955,80.098707,1.338697,0.000000,0.000000,0.000000,21137,93.708793,338,1,3,1,0,0,0,0,0,0,757,779,237,67,143,60,673,613,171,17,20,6
5566,2021-10-31,31.10.2021,25,2,21,0,0,0,0,0,71,3,22,0,,21208,21208,1251,338,338,338,0,20200,630,801,3112,17295,447,350,0,0,0,4,92,320,35,4731.847826,4731.847826,0.000000,279.118334,75.413267,1.593738,1.593738,99.732930,78.090661,0.892465,0.000000,0.000000,0.000000,21183,95.939955,338,1,3,0,0,0,0,0,2,0,758,782,237,67,143,60,673,615,171,18,20,6
