"Datum","Gemeldete Fälle","Hospitalisierungen","Verstorben"
"01.01.2021","136","14","7"
"02.01.2021","263","35","25"
"03.01.2021","201","37","11"
"04.01.2021","260","33","15"
"05.01.2021","538","55","12"
"06.01.2021","532","45","23"
"07.01.2021","477","32","13"
"08.01.2021","523","43","19"
"09.01.2021","405","35","15"
"10.01.2021","141","18","14"
"11.01.2021","258","45","15"
"12.01.2021","404","48","16"
"13.01.2021","488","50","20"
"14.01.2021","420","41","13"
"15.01.2021","412","60","19"
"16.01.2021","352","33","22"
"17.01.2021","201","24","14"
"18.01.2021","238","29","12"
"19.01.2021","466","49","26"
"20.01.2021","483","48","21"
"21.01.2021","496","51","22"
"22.01.2021","460","41","29"
"23.01.2021","439","41","11"
"24.01.2021","156","25","10"
"25.01.2021","163","36","18"
"26.01.2021","543","43","23"
"27.01.2021","463","49","25"
"28.01.2021","383","46","16"
"29.01.2021","346","47","29"
"30.01.2021","260","20","5"
"31.01.2021","179","18","6"
"01.02.2021","130","23","7"
"02.02.2021","360","34","11"
"03.02.2021","339","30","12"
"04.02.2021","324","43","12"
"05.02.2021","260","28","5"
"06.02.2021","267","19","6"
"07.02.2021","106","14","1"
"08.02.2021","135","32","10"
"09.02.2021","312","17","8"
"10.02.2021","333","25","14"
"11.02.2021","355","28","7"
"12.02.2021","225","19","4"
"13.02.2021","190","10","3"
"14.02.2021","116","12","6"
"15.02.2021","142","11","1"
"16.02.2021","249","14","5"
"17.02.2021","246","15","6"
"18.02.2021","254","24","8"
"19.02.2021","268","21","5"
"20.02.2021","198","19","2"
"21.02.2021","112","12","2"
"22.02.2021","104","9","6"
"23.02.2021","283","25","4"
"24.02.2021","253","21","4"
"25.02.2021","249","14","2"
"26.02.2021","265","21","3"
"27.02.2021","198","17","1"
"28.02.2021","90","9","1"
"01.03.2021","104","14","3"
"02.03.2021","223","17","2"
"03.03.2021","254","19","3"
"04.03.2021","229","13","2"
"05.03.2021","216","18","0"
"06.03.2021","213","14","0"
"07.03.2021","71","2","1"
"08.03.2021","112","9","2"
"09.03.2021","255","13","0"
"10.03.2021","271","11","0"
"11.03.2021","268","7","1"
"12.03.2021","232","10","0"
"13.03.2021","262","8","0"
"14.03.2021","77","2","0"

"Datenstand 14.03.2021 20:13:33"
